action,amount,asset_id,block_month,block_number,block_time,condition_id,contract_address,event_market_name,evt_index,maker,price,question,shares,taker,token_outcome,token_outcome_name,tx_hash,unique_key
CLOB trade,504.296,55194745453074297560900438908357749978780021444937743754846798173575377021411,2026-04-01 00:00:00+00:00,85231554,2026-04-07 17:32:25+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,739,0xbff39b9750aa814a67ecf19a461b0e406bd3a023,0.950103621085949,US x Iran ceasefire by April 7?,530.78,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,No,No-US x Iran ceasefire by April 7?,0x70c648d926e4ed3313ca3dc57223019ed3543ff47435bbc4e018239bc5aff905,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
CLOB trade,728.77983,55194745453074297560900438908357749978780021444937743754846798173575377021411,2026-04-01 00:00:00+00:00,85231587,2026-04-07 17:33:31+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,1069,0xbb39ba863319281427a482c8714ffdf69cb7ee8a,0.9509999999999998,US x Iran ceasefire by April 7?,766.33,0x817997d188ab6a5bc85180d561b727401b044403,No,No-US x Iran ceasefire by April 7?,0x8cf47b24344486a3b776c88a4f0b45be785f02e812ed574ca48f4436cc0dc7ce,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
CLOB trade,548.37477,55194745453074297560900438908357749978780021444937743754846798173575377021411,2026-04-01 00:00:00+00:00,85231587,2026-04-07 17:33:31+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,1085,0x8c76c4787bf236398d2d1a42dd3e8af1393206ac,0.9500000000000001,US x Iran ceasefire by April 7?,577.2366,0x817997d188ab6a5bc85180d561b727401b044403,No,No-US x Iran ceasefire by April 7?,0x8cf47b24344486a3b776c88a4f0b45be785f02e812ed574ca48f4436cc0dc7ce,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
CLOB trade,2018.21,55194745453074297560900438908357749978780021444937743754846798173575377021411,2026-04-01 00:00:00+00:00,85231598,2026-04-07 17:33:53+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,2220,0xa75cb55885d667de343b241d26268ef45981895e,0.9519858490566038,US x Iran ceasefire by April 7?,2120.0,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,No,No-US x Iran ceasefire by April 7?,0xbd91e63654f054702f7f60a889164218cf258ae41f799644c3f123a3d0f52a30,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
CLOB trade,677.088,55194745453074297560900438908357749978780021444937743754846798173575377021411,2026-04-01 00:00:00+00:00,85231626,2026-04-07 17:34:49+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,341,0xa75cb55885d667de343b241d26268ef45981895e,0.96,US x Iran ceasefire by April 7?,705.3,0x87852665e53317a02163d4f5970413ac20fadf3f,No,No-US x Iran ceasefire by April 7?,0x3b748b68e60b4e7d14572fd189e407bc2a122d6cfa98a3714e69bf807952a7ae,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
CLOB trade,706.914,55194745453074297560900438908357749978780021444937743754846798173575377021411,2026-04-01 00:00:00+00:00,85231636,2026-04-07 17:35:09+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,2544,0xbb39ba863319281427a482c8714ffdf69cb7ee8a,0.954,US x Iran ceasefire by April 7?,741.0,0x57cc0ba8ed5ffc0a42cfeddb8cd4ddc528c39f51,No,No-US x Iran ceasefire by April 7?,0x08ee130b9f9adfe3b567f9e5a16e8761fa044f80be27c799303549754273c1bd,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
CLOB trade,730.789,55194745453074297560900438908357749978780021444937743754846798173575377021411,2026-04-01 00:00:00+00:00,85231636,2026-04-07 17:35:09+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,2546,0x57cc0ba8ed5ffc0a42cfeddb8cd4ddc528c39f51,0.954032637075718,US x Iran ceasefire by April 7?,766.0,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,No,No-US x Iran ceasefire by April 7?,0x08ee130b9f9adfe3b567f9e5a16e8761fa044f80be27c799303549754273c1bd,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
CLOB trade,527.45,55194745453074297560900438908357749978780021444937743754846798173575377021411,2026-04-01 00:00:00+00:00,85231672,2026-04-07 17:36:21+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,3100,0xfba638c083dcd88a6711a1ffba4352c5431a1fca,0.9590000000000001,US x Iran ceasefire by April 7?,550.0,0x84047c4fce44c222e9e41886995fd2e414dbb69f,No,No-US x Iran ceasefire by April 7?,0xbeee11ee74c9af74220ac8436205f3ef77a7e285ce1f9b20ebee66f54568d356,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
CLOB trade,962.0,55194745453074297560900438908357749978780021444937743754846798173575377021411,2026-04-01 00:00:00+00:00,85231672,2026-04-07 17:36:21+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,3118,0x9055a9e36aa73274e3a92dc2dbb081bb4d9e756a,0.962,US x Iran ceasefire by April 7?,1000.0,0x84047c4fce44c222e9e41886995fd2e414dbb69f,No,No-US x Iran ceasefire by April 7?,0xbeee11ee74c9af74220ac8436205f3ef77a7e285ce1f9b20ebee66f54568d356,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
CLOB trade,955.0,55194745453074297560900438908357749978780021444937743754846798173575377021411,2026-04-01 00:00:00+00:00,85231814,2026-04-07 17:41:05+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,910,0x560259988aa71630f4f7cc702008602391e41480,0.955,US x Iran ceasefire by April 7?,1000.0,0x0eafc20c32e3885f9dd7bd68c56484cad61b97e2,No,No-US x Iran ceasefire by April 7?,0x6971ab742de27567a6d57e9ab189910f5356ec74ca56e1dd256362ec4a8bd444,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7
