wallet,total_notional_usd,wallet_trade_count,unique_tx_count,market_count,first_trade_time,last_trade_time,yes_notional_usd,no_notional_usd,net_yes_minus_no_notional,direction_bias
0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,2130164.667312,905,905,1,2026-04-07 17:32:25+00:00,2026-04-07 22:31:59+00:00,659003.043668,1471161.623644,-812158.5799759999,NO (no ceasefire)
0xbb39ba863319281427a482c8714ffdf69cb7ee8a,341886.58486,265,186,1,2026-04-07 17:33:31+00:00,2026-04-07 21:20:53+00:00,10985.19933,330901.38553,-319916.18620000005,NO (no ceasefire)
0x35417b3d09d7a0991f75d7cc95162a6e34d7462e,334431.751157,95,45,1,2026-04-07 18:50:45+00:00,2026-04-07 22:24:03+00:00,77227.141207,257204.60995,-179977.468743,NO (no ceasefire)
0xaec63dad7d5f2088d0151913e161fe819706b7e5,196305.160814,50,8,1,2026-04-07 21:05:37+00:00,2026-04-07 22:24:47+00:00,81458.990577,114846.170237,-33387.179659999994,NO (no ceasefire)
0xe1194d05876b71b05572c1b59bd49a157f21e30f,183437.12178,161,114,1,2026-04-07 21:53:13+00:00,2026-04-07 22:14:09+00:00,21045.2111,162391.91068,-141346.69958000001,NO (no ceasefire)
0xde7be6d489bce070a959e0cb813128ae659b5f4b,138629.155011,41,13,1,2026-04-07 19:19:21+00:00,2026-04-07 22:10:13+00:00,48619.597151,90009.55786,-41389.960709,NO (no ceasefire)
0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73,124470.65871999999,26,19,1,2026-04-07 18:06:51+00:00,2026-04-07 21:24:53+00:00,1052.756,123417.90272,-122365.14672,NO (no ceasefire)
0xea7957606f259bcba522a4681494555547a7a9cc,99097.163252,71,61,1,2026-04-07 17:53:57+00:00,2026-04-07 22:02:03+00:00,12241.39691,86855.766342,-74614.369432,NO (no ceasefire)
0x1d16b887703318582321c3c96687f565919ee798,98006.67629999999,22,3,1,2026-04-07 22:03:41+00:00,2026-04-07 22:06:57+00:00,84306.98653,13699.689769999999,70607.29676,YES (ceasefire)
0x35bbbad2415fe5e39b12da9a316cdc80b022009b,95423.7057,33,23,1,2026-04-07 18:07:45+00:00,2026-04-07 21:44:47+00:00,30683.101629999997,64740.60407,-34057.502440000004,NO (no ceasefire)
0xfd66d7ed45d7962ad009e669cdaec9319e38fb6d,87796.006098,37,23,1,2026-04-07 18:06:51+00:00,2026-04-07 22:28:59+00:00,41792.701098000005,46003.305,-4210.603901999995,NO (no ceasefire)
0x0e5bd76779e74304d08e759072abf126d87da593,86356.111797,15,5,1,2026-04-07 19:44:09+00:00,2026-04-07 19:56:53+00:00,2050.0,84306.111797,-82256.111797,NO (no ceasefire)
0x72e4daa9b93fd3786f231c3b73c1bdbc4c48740a,81426.187429,43,28,1,2026-04-07 22:03:41+00:00,2026-04-07 22:30:59+00:00,80803.187429,623.0,80180.187429,YES (ceasefire)
0xdc03d611e5bcc9f1c87edb95edeb91671471804c,80936.7461,32,23,1,2026-04-07 17:41:05+00:00,2026-04-07 22:23:23+00:00,3199.3079,77737.4382,-74538.1303,NO (no ceasefire)
0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,72627.33209,28,15,1,2026-04-07 19:23:19+00:00,2026-04-07 22:27:27+00:00,21068.47636,51558.855729999996,-30490.379369999995,NO (no ceasefire)
0xcf19c420814435ffb1c459588208ed23a7ee6402,70250.933771,15,13,1,2026-04-07 19:51:27+00:00,2026-04-07 22:19:17+00:00,9860.5276,60390.406171,-50529.878571,NO (no ceasefire)
