wallet,role,token_outcome_norm,notional_usd,trade_count
0x00425c692a667981118f679ef68fdc775257321e,maker,YES,14987.20413,11
0x00425c692a667981118f679ef68fdc775257321e,taker,NO,4471.476000000001,4
0x00425c692a667981118f679ef68fdc775257321e,taker,YES,4771.576730000001,3
0x01adea599a865a092b51ee4573581a75fc1390f6,maker,NO,1851.8834299999999,2
0x01b2a484440dc17f323e565b48f6faed756c0dcf,maker,YES,667.24366,1
0x01b2a484440dc17f323e565b48f6faed756c0dcf,taker,NO,803.277,1
0x030a01fff8762c0747b6dbc589b28ee6cea8acfc,maker,YES,19848.64877,10
0x030a01fff8762c0747b6dbc589b28ee6cea8acfc,taker,NO,5434.15654,4
0x030a01fff8762c0747b6dbc589b28ee6cea8acfc,taker,YES,13429.19915,5
0x033ac9f02e37c679be5b4537e9f0f45788707188,maker,NO,1271.57294,1
0x033ac9f02e37c679be5b4537e9f0f45788707188,taker,NO,702.099,1
0x042a1caf0b0d51d4fe5abc5d8832c2c9a5ffb153,maker,YES,1588.94544,1
0x042a1caf0b0d51d4fe5abc5d8832c2c9a5ffb153,taker,YES,1131.0,1
0x0481be0c6f8997795c043dcc120970dd5492bfec,maker,NO,3448.64648,2
0x0481be0c6f8997795c043dcc120970dd5492bfec,taker,NO,2865.0,1
0x048215305cbcf7cc790735bf00119551d75c6b0a,taker,NO,3606.6686,3
0x0484ced2f7764c28c0eef3514b48682ee0cde0ee,maker,YES,4662.45934,5
0x0484ced2f7764c28c0eef3514b48682ee0cde0ee,taker,NO,2926.647,3
0x0484ced2f7764c28c0eef3514b48682ee0cde0ee,taker,YES,2150.84107,2
0x067d3da0516367dd7b71cf7ee919c37a9f9aa24e,maker,NO,3551.12748,4
0x08458f7e9d2858027de579e4c3ca305475496b6f,maker,NO,1295.83,2
0x08c897e4780c299061fe683120e5bb18cf931da2,maker,NO,828.38,1
0x09bb2ab1c72871fd3d206cd36bf29a87ec9b1c5c,maker,NO,1501.5029299999999,2
0x0a53282124062874b45d6489a95a26f62c6d7a6f,maker,YES,510.569999,1
0x0a53282124062874b45d6489a95a26f62c6d7a6f,taker,NO,2172.8315709999997,2
0x0a543bb97015206f67e1bc5ead7c2d60baf64a03,maker,NO,38644.994945,12
0x0a543bb97015206f67e1bc5ead7c2d60baf64a03,taker,NO,2552.17556,2
0x0a5b011bf97564b0124289a876bdecea294d1441,taker,NO,874.93024,1
0x0a6d26d31b28fd5a84c301f8b27296612f3b1d0a,maker,NO,16731.554924,19
0x0a6d26d31b28fd5a84c301f8b27296612f3b1d0a,maker,YES,1436.625,2
0x0aa95ca0754923bc369d20f76dd3e9473bccbab4,maker,YES,961.9868,1
0x0aa95ca0754923bc369d20f76dd3e9473bccbab4,taker,NO,2972.63128,3
0x0aa95ca0754923bc369d20f76dd3e9473bccbab4,taker,YES,654.0,1
0x0ab1c1f7f8de728dc291f9cb4788dc2a8c517df3,maker,NO,5762.24327,1
0x0b13ffcfaa14fdf81196a961e1c5750b697a5957,maker,NO,2240.3144,3
0x0bb95597b85b89f83f66929be66edcf4ae7f9725,taker,NO,1212.3995,1
0x0bfb8009df6c46c1fdd79b65896cf224dc4526a7,maker,NO,521.4,1
