action,amount,asset_id,block_month,block_number,block_time,condition_id,contract_address,event_market_name,evt_index,maker,price,question,shares,taker,token_outcome,token_outcome_name,tx_hash,unique_key,wallet_role,is_maker,is_taker
CLOB trade,0.2355,82855088893985825781350466813737280564000275725006328179621744619327480699369,2026-04-01 00:00:00+00:00,85241793,2026-04-07 23:13:43+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,770,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0.942,US x Iran ceasefire by April 7?,0.25,0x85b87f40ee6adfa4b5b3f94bb8719dc379689d57,Yes,Yes-US x Iran ceasefire by April 7?,0xf749442dcd3f7b4f230644dc7a6f031c5674568884a84a1cf9bb2dd1a4786db2,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,maker,True,False
CLOB trade,0.19782,82855088893985825781350466813737280564000275725006328179621744619327480699369,2026-04-01 00:00:00+00:00,85241793,2026-04-07 23:13:43+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,792,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0.9420000000000001,US x Iran ceasefire by April 7?,0.21,0xbbafe2685924f2a5a7b1100d3e67a017573c3996,Yes,Yes-US x Iran ceasefire by April 7?,0x2fbb044176217f3cff89dda682090a2cbcf58295ddf4aea9d7854a7dd7dc7e14,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,maker,True,False
CLOB trade,3.11802,82855088893985825781350466813737280564000275725006328179621744619327480699369,2026-04-01 00:00:00+00:00,85241793,2026-04-07 23:13:43+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,492,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0.942,US x Iran ceasefire by April 7?,3.31,0x8dc13adfda28963976e8c17b1d4efbe53d14c34a,Yes,Yes-US x Iran ceasefire by April 7?,0xadaf8a0dafb48e3242af5811eca375bd8be5f4548041efd3f670eba962635a06,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,maker,True,False
CLOB trade,0.05652,82855088893985825781350466813737280564000275725006328179621744619327480699369,2026-04-01 00:00:00+00:00,85241793,2026-04-07 23:13:43+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,380,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0.9420000000000001,US x Iran ceasefire by April 7?,0.06,0x42c229fd9ea41ccb89f7308c7c20919cdfa1b60d,Yes,Yes-US x Iran ceasefire by April 7?,0xff414a4981d1a628a5fd3caa12597aebba1ed0191a7351ae9ed4be251de23d2a,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,maker,True,False
CLOB trade,15.59952,82855088893985825781350466813737280564000275725006328179621744619327480699369,2026-04-01 00:00:00+00:00,85241793,2026-04-07 23:13:43+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,603,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0.9420000000000001,US x Iran ceasefire by April 7?,16.56,0xbeccf1ec86abb15649df4d4023821f2f557ff560,Yes,Yes-US x Iran ceasefire by April 7?,0x10fd4b795e2e3d08a49d41bc14e0341f433f3fcf7ebb10e41d4c4c8e3a501acc,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,maker,True,False
CLOB trade,3.08976,82855088893985825781350466813737280564000275725006328179621744619327480699369,2026-04-01 00:00:00+00:00,85241793,2026-04-07 23:13:43+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,481,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0.9420000000000001,US x Iran ceasefire by April 7?,3.28,0x6ac266888067f6096950b7ef32e9d2b1ee974e63,Yes,Yes-US x Iran ceasefire by April 7?,0xc31e88e3f00677be34b4c362fcecc3bfba976705da29deed7b49502f57ad27c6,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,maker,True,False
CLOB trade,3.5325,82855088893985825781350466813737280564000275725006328179621744619327480699369,2026-04-01 00:00:00+00:00,85241793,2026-04-07 23:13:43+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,466,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0.9420000000000001,US x Iran ceasefire by April 7?,3.75,0x2db90f8bf381b2092654fe1de8950a1195ec846c,Yes,Yes-US x Iran ceasefire by April 7?,0x28201730830fab7115454a9f5cb123e6bd7686f3822e6e14d365c8508f159c55,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,maker,True,False
CLOB trade,0.06594,82855088893985825781350466813737280564000275725006328179621744619327480699369,2026-04-01 00:00:00+00:00,85241793,2026-04-07 23:13:43+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,713,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0.9419999999999998,US x Iran ceasefire by April 7?,0.07,0x5865a8afe9bbdc2e4c33ede55d78f0ec624322b1,Yes,Yes-US x Iran ceasefire by April 7?,0x4989263c24ba20f5c5443f1b8b6089f90b6e9a337a5d1e126355fd39d761ba3c,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,maker,True,False
CLOB trade,0.00942,82855088893985825781350466813737280564000275725006328179621744619327480699369,2026-04-01 00:00:00+00:00,85241793,2026-04-07 23:13:43+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,503,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0.942,US x Iran ceasefire by April 7?,0.01,0x332f73aff641fd88d93721b38d64cb036397e919,Yes,Yes-US x Iran ceasefire by April 7?,0xe1cf745eb22b21c1eedf50a7122702a38c6fc2bf977067edce9300e16a11f00e,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,maker,True,False
CLOB trade,0.27318,82855088893985825781350466813737280564000275725006328179621744619327480699369,2026-04-01 00:00:00+00:00,85241793,2026-04-07 23:13:43+00:00,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,single market,391,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0.942,US x Iran ceasefire by April 7?,0.29,0x332f73aff641fd88d93721b38d64cb036397e919,Yes,Yes-US x Iran ceasefire by April 7?,0x97a04a920ef75284369697f673b0de0beae28f862affe2afa93efd60f015acc1,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,maker,True,False
